City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,cascais,38.6979,-9.4215,19.17,96,40,8.94,PT,1701280711
186,el kala,36.8956,8.4433,16.23,79,27,1.48,DZ,1701280857
187,tofol,5.3248,163.0078,27.04,76,100,2.52,FM,1701280857
188,iskateley,67.6803,53.1512,-13.32,93,98,4.47,RU,1701280734
189,nelson bay,-32.7167,152.15,19.44,91,1,2.68,AU,1701280858
190,pavlovskiy posad,55.7847,38.6506,-2.04,91,100,6.12,RU,1701280858
191,arno,60.1167,18.6333,0.99,85,81,3.95,SE,1701280858
192,miracema do tocantins,-9.5618,-48.3967,39.4,20,35,2.65,BR,1701280859
193,kilindoni,-7.9139,39.6668,27.46,81,53,5.35,TZ,1701280859
194,atar,20.5169,-13.0499,26.15,11,0,2.47,MR,1701280860
195,shiqian,27.5225,108.2281,10.65,73,100,1.93,CN,1701280860
196,hermanus,-34.4187,19.2345,19.02,63,9,7.96,ZA,1701280715
197,avarua,-21.2078,-159.775,24.03,83,75,8.23,CK,1701280735
198,vytegra,61.0064,36.4481,-9.8,96,80,3.13,RU,1701280861
199,qaqortoq,60.7167,-46.0333,-0.43,62,94,7.18,GL,1701280861
200,bambari,5.768,20.6757,24.02,82,99,1.99,CF,1701280862
201,remire-montjoly,4.9167,-52.2667,31.02,66,20,6.17,GF,1701280738
202,new norfolk,-42.7826,147.0587,12.18,96,100,1.24,AU,1701280863
203,puerto baquerizo moreno,-0.9,-89.6,26.55,83,75,6.17,EC,1701280864
204,port mathurin,-19.6833,63.4167,25.21,70,1,5.76,MU,1701280716
205,santa vitoria do palmar,-33.5189,-53.3681,20.89,87,98,4.84,BR,1701280865
206,inverloch,-38.6333,145.7167,14.45,78,100,8.67,AU,1701280865
207,udachny,66.4167,112.4,-15.86,91,99,12.09,RU,1701280732
208,kirkwall,58.9848,-2.9587,4.03,81,75,3.09,GB,1701280866
209,sinop,41.7711,34.8709,7.68,76,97,4.3,TR,1701280867
210,conceicao do araguaia,-8.2578,-49.2647,37.08,27,43,1.69,BR,1701280869
211,puerto aysen,-45.4,-72.7,10.25,99,100,2.58,CL,1701280870
212,prince rupert,54.3161,-130.3201,7.83,87,100,5.66,CA,1701280871
213,uturoa,-16.7333,-151.4333,26.67,82,100,8.75,PF,1701280872
214,igarka,67.4667,86.5833,-28.22,99,37,1.87,RU,1701280872
215,touros,-5.1989,-35.4608,28.56,64,72,7.19,BR,1701280857
216,namanga,-2.5433,36.7905,20.96,75,95,4.34,KE,1701280874
217,enewetak,11.3474,162.3373,27.47,79,98,9.43,MH,1701280875
218,bredasdorp,-34.5322,20.0403,18.05,65,4,7.14,ZA,1701280706
219,ta`u,-14.2336,-169.5144,27.49,80,65,8.01,AS,1701280876
220,lerwick,60.1545,-1.1494,4.0,73,100,9.62,GB,1701280721
221,opuwo,-18.0607,13.84,24.33,62,96,6.78,NA,1701280877
222,clewiston,26.7542,-80.9337,20.41,61,94,4.81,US,1701280878
223,barah,13.7,30.3667,27.86,27,61,5.59,SD,1701280879
224,kuanda,56.3161,116.0806,-23.82,94,99,0.14,RU,1701280879
225,sola,-13.8833,167.55,26.8,86,98,7.83,VU,1701280880
226,wadesboro,34.9682,-80.0767,7.9,21,0,0.0,US,1701280881
227,nakamura,32.9833,132.9333,9.56,87,80,1.96,JP,1701280882
228,cabo san lucas,22.8909,-109.9124,28.06,69,29,0.45,MX,1701280530
229,empangeni,-28.762,31.8933,20.21,63,100,6.08,ZA,1701280886
230,valabhipur,21.8833,71.8667,21.78,63,0,4.22,IN,1701280886
231,peace river,56.2501,-117.286,-3.83,74,20,2.57,CA,1701280601
232,la passe,45.5549,-0.8967,6.66,89,100,6.43,FR,1701280888
233,okha,53.5739,142.9478,-12.18,88,100,7.16,RU,1701280889
234,ancud,-41.8697,-73.8203,11.53,94,100,6.57,CL,1701280889
235,babeni,44.9667,24.2333,1.22,82,40,0.81,RO,1701280890
236,polygyros,40.3744,23.4383,12.6,64,45,1.51,GR,1701280891
237,crane,31.3974,-102.3501,13.21,48,100,7.19,US,1701280892
238,rouyn-noranda,48.2398,-79.0288,-4.95,80,100,4.12,CA,1701280781
239,nizhniy kuranakh,58.8353,125.4869,-15.25,93,100,4.13,RU,1701280893
240,tsiombe,-25.3,45.4833,24.58,86,0,2.25,MG,1701280895
241,polevskoy,56.4422,60.1878,-2.06,97,100,2.25,RU,1701280896
242,kenitra,34.261,-6.5802,18.42,80,56,2.42,MA,1701280732
243,tura,25.5198,90.2201,18.16,86,0,1.43,IN,1701280719
244,nemuro,43.3236,145.575,-1.54,61,10,6.36,JP,1701280730
245,chu,43.5983,73.7614,10.63,71,100,3.87,KZ,1701280898
246,pavlodar,52.3,76.95,-2.11,86,0,3.0,KZ,1701280899
247,kas,36.2018,29.6377,15.72,81,77,0.52,TR,1701280900
248,nar'yan-mar,67.6713,53.087,-13.27,93,98,4.47,RU,1701280902
249,nishinoomote,30.7333,131.0,18.86,62,22,9.25,JP,1701280904
250,kone,-21.0595,164.8658,21.92,89,21,1.17,NC,1701280905
251,acarau,-2.8856,-40.12,30.44,59,52,7.7,BR,1701280766
252,fonte boa,-2.4959,-66.2662,33.45,51,65,1.75,BR,1701280906
253,mokhsogollokh,61.4681,128.9203,-18.61,91,100,3.73,RU,1701280906
254,jayapura,-2.5333,140.7,25.66,85,97,1.8,ID,1701280733
255,labytnangi,66.6572,66.4183,-9.21,95,100,4.6,RU,1701280907
256,atafu village,-8.5421,-172.5159,28.9,74,95,4.31,TK,1701280907
257,sangkhla buri,15.1555,98.4536,21.98,74,99,0.73,TH,1701280908
258,lospalos,-8.5186,127.0025,23.35,93,100,0.23,TL,1701280908
259,vorkuta,67.5,64.0,-7.18,96,100,2.12,RU,1701280908
260,wanning,18.8003,110.3967,24.1,94,73,4.21,CN,1701280717
261,qamdo,31.1667,97.2333,-3.46,41,100,1.26,CN,1701280705
262,capao da canoa,-29.7456,-50.0097,21.61,90,99,6.72,BR,1701280910
263,vredefort,-27.0081,27.3646,20.32,32,100,2.87,ZA,1701280910
264,portland,45.5234,-122.6762,5.47,76,20,2.68,US,1701280572
